file,Start,Watch p1,Watch p2,Clap,Start Task 1,End Task 1,End Task 2,Stop,Actual End Task 1
221116_CGLS,0.0,3.04,12.52,52.2,62.84,1016.16,1889.76,1891.88,
221117_TFGG,0.0,11.6,0.96,49.64,69.84,1063.6,1972.56,1975.0,
221118_GDNF,0.0,30.64,8.32,65.16,82.4,891.52,1929.28,1935.0,
221118_VPET,0.0,1.08,2.92,55.16,72.72,1009.2,1999.36,2005.0,
221121_JPMC,0.0,2.84,7.12,43.28,54.12,916.64,1893.2,1895.0,
221122_BDCC,0.0,1.84,6.72,17.24,28.68,956.6,1902.44,1905.0,
221122_EBPT,0.0,3.36,7.64,23.96,34.48,992.8,1969.52,1986.08,
221123_JFHB,0.0,1.64,3.32,33.44,43.56,1022.48,1995.72,1997.0,
221123_MMCM,0.0,1.68,7.32,63.44,71.4,947.88,1956.12,1957.0,
221123_YAEB,0.0,0.44,4.04,20.8,30.8,982.56,1945.04,1948.0,
221125_FDCC,0.0,1.44,1.76,28.0,39.56,856.12,1713.12,1714.0,811.2
221128_EMTR,0.0,0.92,19.56,48.4,60.24,1089.52,1962.12,1963.0,
221128_LBRA,0.0,0.44,5.96,36.76,48.36,998.56,1943.08,1944.56,
221130_AMLB,0.0,1.4,8.2,33.92,44.64,876.12,1715.96,1717.0,
221130_ASCS,0.0,1.6,6.76,29.04,41.44,968.56,1869.68,1874.0,
221130_PCEF,0.0,1.24,1.12,32.4,43.76,972.32,1870.48,1871.0,
221130_TFLH,0.0,1.84,6.4,36.64,47.48,918.52,1886.0,1890.0,
221201_LIVS,0.0,0.56,1.68,24.0,34.92,951.52,1932.84,1937.0,
221201_MMLM,0.0,3.68,0.72,27.08,38.72,954.8,1876.08,1877.0,
221202_ELLD,0.0,18.36,1.24,36.4,50.24,945.04,1923.64,1924.0,
221205_KMJF,0.0,0.44,1.64,13.92,23.16,986.28,1975.96,1978.0,
221206_LKCR,0.0,1.52,5.36,26.24,39.56,1019.44,2084.48,2085.0,
221206_MMER,0.0,1.32,12.52,40.6,50.64,1025.84,1941.36,1942.0,
221207_LBMC,0.0,1.12,5.24,28.36,36.16,997.44,1873.92,1874.0,
221207_SALT,0.0,1.48,10.44,27.0,36.32,973.32,1924.68,1926.0,
221207_SLCB,0.0,0.88,0.04,87.96,95.12,1066.28,2021.12,2022.0,
221208_MBLB,0.0,0.28,1.04,19.56,29.24,931.04,1873.28,1876.0,
221215_AGET,0.0,0.88,1.56,142.88,164.2,1074.88,2136.16,2137.0,
